node_1|node_2|edge|chunk_id|example
communication of results to management and other stakeholders|realistic assessments for each risk|facilitates|043e3cb77b304e69bd146662d198e544|
qualitative risk analysis|risk assessment|is performed|043e3cb77b304e69bd146662d198e544|
risk information collection|high quality information about risks|requires|0015624fb8b74f50a40594c6803482a9|
historic database|high quality information about risks|is not available in|0015624fb8b74f50a40594c6803482a9|
interviews, workshops|means for gathering information|includes|0015624fb8b74f50a40594c6803482a9|
expert judgment|means for gathering information|includes|0015624fb8b74f50a40594c6803482a9|
individuals|data source|provides|0015624fb8b74f50a40594c6803482a9|
reporting bias, intentional bias|potential issues with data gathered from individuals|may be subject to|0015624fb8b74f50a40594c6803482a9|
identification and remedy|reporting bias, intentional bias|should be identified and remedied where possible|0015624fb8b74f50a40594c6803482a9|
unbiased source of information|different data source|should be found and used when necessary|0015624fb8b74f50a40594c6803482a9|
iterative qualitative risk analysis|project|is part of|4873356d5fbb4774a7d047e2e5d4df3d|
qualitative risk analysis processes|project|affects|4873356d5fbb4774a7d047e2e5d4df3d|
success|qualitative risk analysis processes|enhanced by|4873356d5fbb4774a7d047e2e5d4df3d|
risk identification and qualitative analysis|project|is necessary for|4873356d5fbb4774a7d047e2e5d4df3d|
risk identification and qualitative analysis|individual risks|applies to|4873356d5fbb4774a7d047e2e5d4df3d|
plan risk management process|frequency of risk analysis effort|governs|4873356d5fbb4774a7d047e2e5d4df3d|
project events|frequency of risk analysis effort|may affect|4873356d5fbb4774a7d047e2e5d4df3d|
project stakeholders agreement|project success factors|is a fundamental criterion|c992c5063a4540d6a0e5cf73f5f3519e|
agreed upon approach|process credibility|is the foundation of|c992c5063a4540d6a0e5cf73f5f3519e|
agreed upon definitions|high quality information collection|enables|c992c5063a4540d6a0e5cf73f5f3519e|
fulfilled conditions (agreement, approach, definitions)|process execution reliability|contributes to|c992c5063a4540d6a0e5cf73f5f3519e|
process execution reliability|credibility of process outputs|contributes to|c992c5063a4540d6a0e5cf73f5f3519e|
chapter 6 perform qualitative risk analysis figure 6.1|building risk analysis credibility|represents|c992c5063a4540d6a0e5cf73f5f3519e|
risk characteristics|importance of risk|defines|f0394aafbc004099a79e1fc43dbddafb|
qualitative risk analysis tools|risk characteristics|provide ways to distinguish|f0394aafbc004099a79e1fc43dbddafb|
qualitative risk analysis tools|less important risks|help to identify|f0394aafbc004099a79e1fc43dbddafb|
management|risks of interest|are agreed upon in advance by|f0394aafbc004099a79e1fc43dbddafb|
qualitative risk analysis tools|risks of interest|implement in the tools used|f0394aafbc004099a79e1fc43dbddafb|
qualitative risk analysis tools|priority order or groups (high, moderate, low)|output from|f0394aafbc004099a79e1fc43dbddafb|
organization or project stakeholders|risk characteristics|specify those levels or combinations of|f0394aafbc004099a79e1fc43dbddafb|
qualitative risk analysis tools|importance of a risk|assess from a combination of probability of occurrence and degree of impact on objectives|f0394aafbc004099a79e1fc43dbddafb|
risk characteristics|importance|defines|5cad5e6ab348498bafc15092de30e9dd|
qualitative risk analysis tools|risk characteristics|provide ways to specify|5cad5e6ab348498bafc15092de30e9dd|
qualitative risk analysis tools|less important risks|allow for filtering out|5cad5e6ab348498bafc15092de30e9dd|
management|risk of interest to management|are agreed upon in advance by|5cad5e6ab348498bafc15092de30e9dd|
qualitative risk analysis tools|listing of risks|produce|5cad5e6ab348498bafc15092de30e9dd|
priority order/groups (high, moderate, low)|listing of risks|are part of|5cad5e6ab348498bafc15092de30e9dd|
qualitative risk analysis tools|organization or project stakeholders|allow for specifying levels/combinations of|5cad5e6ab348498bafc15092de30e9dd|
qualitative risk analysis tools|probability of occurrence and degree of impact on objectives|assess a risk's importance from a combination of|5cad5e6ab348498bafc15092de30e9dd|
data collection|individual risks|is based on|39b6c5d42be243c1af4243ab6fd84b68|
information collected about individual risks|data collection|is part of|39b6c5d42be243c1af4243ab6fd84b68|
data evaluation tools|individual risks|is based on|39b6c5d42be243c1af4243ab6fd84b68|
data evaluation tools|data collection|requires|39b6c5d42be243c1af4243ab6fd84b68|
management support|data evaluation tools|requires|39b6c5d42be243c1af4243ab6fd84b68|
attention|data evaluation tools|requires|39b6c5d42be243c1af4243ab6fd84b68|
interviews|data collection|includes|39b6c5d42be243c1af4243ab6fd84b68|
workshops|data collection|includes|39b6c5d42be243c1af4243ab6fd84b68|
references to databases of prior projects|data collection|includes|39b6c5d42be243c1af4243ab6fd84b68|
bias in data gathering|data gathering|is important to protect against|39b6c5d42be243c1af4243ab6fd84b68|
risk prioritization|probability and impact|is based on|cbc2325f8f9243989d3a578ea1c3176e|
risk prioritization|specific objectives|applies to|cbc2325f8f9243989d3a578ea1c3176e|
risk tools|distinguishing risk priority|permits|cbc2325f8f9243989d3a578ea1c3176e|
distinguishing risk priority|affected objective|in terms of|cbc2325f8f9243989d3a578ea1c3176e|
list of risks|important risks for specific objective|contains|cbc2325f8f9243989d3a578ea1c3176e|
risk prioritization|probability and impact|is based on|5d0a6b5db32e460b853ed00024176681|
risk prioritization|specific objectives|is related to|5d0a6b5db32e460b853ed00024176681|
tools for risk management|capability for distinguishing a risk's priority in terms of the affected objective|provides|5d0a6b5db32e460b853ed00024176681|
tools for risk management|list of risks important for any specific objective of interest to management|produces|5d0a6b5db32e460b853ed00024176681|
risks|uneven impacts on various project objectives|have|5d0a6b5db32e460b853ed00024176681|
prioritizing risks|project as a whole|affects|c82e54f3c3d54882904cfbdea1657ca3|
importance of a specific risk|specific objectives|contrasted with|c82e54f3c3d54882904cfbdea1657ca3|
ease of communication|management and other stakeholders|is related to|c82e54f3c3d54882904cfbdea1657ca3|
single risk prioritization index|organization's preference among objectives|reflected by|c82e54f3c3d54882904cfbdea1657ca3|
creating the overall risk priority measure|plan risk management process|is documented in|c82e54f3c3d54882904cfbdea1657ca3|
qualitative risk analysis|chapter 6|performed|c82e54f3c3d54882904cfbdea1657ca3|
categorizing risks|improved analysis of project risk|leads to|354623d53c04490295fe368dce490d2d|
understanding the relationships between risks|better understanding of the possibility and magnitude of project risk|provides|354623d53c04490295fe368dce490d2d|
identifying common root causes of a group of risks|reveal[s] the magnitude of the risk event for the group as a whole|may reveal|354623d53c04490295fe368dce490d2d|
identifying common root causes of a group of risks|effective strategies that might address several risks simultaneously|might provide|354623d53c04490295fe368dce490d2d|
some risks|are linked with others in a causal chain|may be|354623d53c04490295fe368dce490d2d|
understanding the chain of risks|better understanding of the implication of risk for the project|leads to|354623d53c04490295fe368dce490d2d|
identifying risks that can occur at the same time|provide[s] a realistic picture of problems of risk mitigation using scarce resources|might provide|354623d53c04490295fe368dce490d2d|
performing qualitative analysis|combining the results|requires|354623d53c04490295fe368dce490d2d|
perform qualitative risk analysis process|undifferentiated risks (from 'identify risks' chapter 5)|applies to|159b7899e46b45c7a556dfa3dee5eb2d|
perform qualitative risk analysis process|categories of priority|converts into|159b7899e46b45c7a556dfa3dee5eb2d|
qualitative risk analysis results|risks clusters arising from specific sources|reveals|159b7899e46b45c7a556dfa3dee5eb2d|
combination of risk analysis information with work breakdown structure (wbs)|areas of the project exhibiting the most risk|shows|159b7899e46b45c7a556dfa3dee5eb2d|
assessing high priority risks impact on one objective|activities to address to reduce uncertainty of that objective|indicates|159b7899e46b45c7a556dfa3dee5eb2d|
documentation of perform qualitative risk analysis process results|structure added to the list of undifferentiated risks|adds|159b7899e46b45c7a556dfa3dee5eb2d|
risk analysis process|qualitative risk analysis process|is part of|aac4acb122da42158e01157d8f52a7b8|
risk analysis process|list of undifferentiated risks|applies to|aac4acb122da42158e01157d8f52a7b8|
qualitative risk analysis process|identify risks chapter 5|adds structure to|aac4acb122da42158e01157d8f52a7b8|
categories of priority|priorities|is divided into|aac4acb122da42158e01157d8f52a7b8|
priorities|risk|based on|aac4acb122da42158e01157d8f52a7b8|
priorities|risk's probability of occurring|is determined by|aac4acb122da42158e01157d8f52a7b8|
priorities|risk's potential impact on specific project objectives or on the whole project|is determined by|aac4acb122da42158e01157d8f52a7b8|
each identified risk|priority|is assigned|aac4acb122da42158e01157d8f52a7b8|
risk register|list of prioritized risks|stores|aac4acb122da42158e01157d8f52a7b8|
project participants|risk register list of prioritized risks|are posted to|aac4acb122da42158e01157d8f52a7b8|
risks that are judged to have high priority|further analysis and response planning|are segregated for|aac4acb122da42158e01157d8f52a7b8|
risks of low priority to the project|watch list|are placed on|aac4acb122da42158e01157d8f52a7b8|
chapter 7|quantitative risk|performs|aac4acb122da42158e01157d8f52a7b8|
project risks|high-priority risks|are monitored frequently|4bbf0f889c434ee6bb30de26c2cbce5a|
project risks|low-priority risks|are placed on a watch list and are reviewed less often for changes in their status|4bbf0f889c434ee6bb30de26c2cbce5a|
quantitative risk analysis|project risks|is performed on|4bbf0f889c434ee6bb30de26c2cbce5a|
perform qualitative risk analysis process|chapter 6|is part of|20cbc9a60d204e1abf18c5da5e47a94d|
perform qualitative risk analysis process|figure 6.2|illustrates|20cbc9a60d204e1abf18c5da5e47a94d|
tools and techniques for performing qualitative risk analysis process|assessing individual risks|used for|20cbc9a60d204e1abf18c5da5e47a94d|
assessing individual risks|risks that are important to the project's success|identifies|20cbc9a60d204e1abf18c5da5e47a94d|
perform quantitative risk analysis process|project objectives|provides a numerical estimate of the overall effect on|760e1a2e8ad3493d85c4f461277e2812|
results from perform quantitative risk analysis|likelihood of success in achieving project objectives|used to evaluate|760e1a2e8ad3493d85c4f461277e2812|
results from perform quantitative risk analysis|contingency reserves (usually for time and cost)|estimate that are appropriate to both the risks and the risk tolerance of project stakeholders|760e1a2e8ad3493d85c4f461277e2812|
quantitative techniques such as monte carlo simulation|perform quantitative risk analysis process|analyzing uncertainty in the project|760e1a2e8ad3493d85c4f461277e2812|
non probabilistic approach|perform quantitative risk analysis process|may provide more realism in the estimate of the overall project cost or schedule|760e1a2e8ad3493d85c4f461277e2812|
quantitative risk analysis|project|is generally accepted that it is required or appropriate for|760e1a2e8ad3493d85c4f461277e2812|
deterministic activity durations or line item cost estimates|quantitative risk analysis|assumes that|3cab04c2d45e432aa8eea2da7397c7cf|
quantitative risk analysis|plan risk management process|is a part of|3cab04c2d45e432aa8eea2da7397c7cf|
quantitative risk analysis|projects|is applicable for|3cab04c2d45e432aa8eea2da7397c7cf|
quantitative risk analysis|smaller projects|may not be appropriate for|3cab04c2d45e432aa8eea2da7397c7cf|
qualitative risk analysis|effective risk responses|provides enough information for the development of|3cab04c2d45e432aa8eea2da7397c7cf|
quantitative risk analysis|additional insights and value|justifies the additional effort|3cab04c2d45e432aa8eea2da7397c7cf|
partial risk analyses|qualitative risk analysis|is an example of|3cab04c2d45e432aa8eea2da7397c7cf|
partial risk analyses|individual risks|prioritizes one at a time|3cab04c2d45e432aa8eea2da7397c7cf|
partial risk analyses|overall project risk|cannot produce measures of when all risks are considered simultaneously|3cab04c2d45e432aa8eea2da7397c7cf|
perform quantitative risk analysis process|calculating estimates of overall project risk|is the focus of|3cab04c2d45e432aa8eea2da7397c7cf|
specific project risks|detailed level such as|are usually best understood and quantified at|3cab04c2d45e432aa8eea2da7397c7cf|
perform quantitative risk analysis process|estimates of overall project risk|is the focus of|7007cdd789fe487b9ed3f6d493db6e77|
estimates of overall project risk|project objectives|affects|7007cdd789fe487b9ed3f6d493db6e77|
project objectives|achievement of the project's budget|is one of|7007cdd789fe487b9ed3f6d493db6e77|
project objectives|the schedule|is one of|7007cdd789fe487b9ed3f6d493db6e77|
specific project risks|estimates of overall project risk|is related to|7007cdd789fe487b9ed3f6d493db6e77|
specific project risks|line item cost or schedule activity level|is best understood and quantified at|7007cdd789fe487b9ed3f6d493db6e77|
overall risk analysis|quantitative techniques|uses|7007cdd789fe487b9ed3f6d493db6e77|
overall risk analysis|project objectives|estimates the implication of all quantified risks on|7007cdd789fe487b9ed3f6d493db6e77|
complete and accurate representation of the project objectives|overall risk analysis using quantitative methods|requires|7007cdd789fe487b9ed3f6d493db6e77|
examples of these representations|project schedule or cost estimate|include|7007cdd789fe487b9ed3f6d493db6e77|
identifying risks on individual project elements|specific project risks|is related to|7007cdd789fe487b9ed3f6d493db6e77|
quantitative risk analysis|project plan baseline/current|compared to|f0b6f495fcc6493e8f05739d49f14f57|
quantitative risk analysis|overall project objective|determining impact on|f0b6f495fcc6493e8f05739d49f14f57|
management|overall project risk|given an estimate of|f0b6f495fcc6493e8f05739d49f14f57|
management|probability of meeting the project's objectives|answering the question about|f0b6f495fcc6493e8f05739d49f14f57|
management|contingency reserve|providing the organization with the level of certainty it requires based upon its risk tolerance|f0b6f495fcc6493e8f05739d49f14f57|
quantitative method (e.g., monte carlo simulation or decision tree analysis)|individual risks|incorporates multiple risks simultaneously in determining overall impact|f0b6f495fcc6493e8f05739d49f14f57|
individual risks|project elements (schedule activities, line item costs)|applied to|f0b6f495fcc6493e8f05739d49f14f57|
individual risks|generic risks|including|f0b6f495fcc6493e8f05739d49f14f57|
reserves or buffers|organization|is needed to provide|d1c914d99eb3432dbfa5590cca18a3a1|
reserves or buffers|level of certainty|is required based upon|d1c914d99eb3432dbfa5590cca18a3a1|
level of certainty|risk tolerance|of the organization|d1c914d99eb3432dbfa5590cca18a3a1|
project|line item costs or schedule activities|contribute the most risk when all risks are considered simultaneously|d1c914d99eb3432dbfa5590cca18a3a1|
overall project risk|individual risks|is estimated by considering|d1c914d99eb3432dbfa5590cca18a3a1|
quantitative methods|project risk|helps in distinguishing|d1c914d99eb3432dbfa5590cca18a3a1|
quantified risks|objectives beyond the tolerance of the stakeholders|threaten|d1c914d99eb3432dbfa5590cca18a3a1|
acceptable tolerances|objectives|of the stakeholders|d1c914d99eb3432dbfa5590cca18a3a1|
quantitative and qualitative risk analysis processes|comparison|is presented in figure 7.1|d1c914d99eb3432dbfa5590cca18a3a1|
prior risk identification|perform quantitative risk analysis|occurs after|fdc7f2a6e1b9464faaa997ec57aeb7dd|
prioritized list of identified risks|perform quantitative risk analysis|ensures that considers all significant risks when analyzing their effects quantitatively|fdc7f2a6e1b9464faaa997ec57aeb7dd|
identify risks|perform quantitative risk analysis|processes have been completed after|fdc7f2a6e1b9464faaa997ec57aeb7dd|
qualitative risk analysis|identify risks|processes have been completed after|fdc7f2a6e1b9464faaa997ec57aeb7dd|
qualitative risk analysis|perform quantitative risk analysis|is a prerequisite for|fdc7f2a6e1b9464faaa997ec57aeb7dd|
prior risk identification and qualitative risk analysis|perform quantitative risk analysis process|occurs after|9339848bfbfb4cd29b88b3ca41e14863|
prioritized list of identified risks|perform quantitative risk analysis process|ensures that will consider|9339848bfbfb4cd29b88b3ca41e14863|
significant risks|effects quantitatively analyzed by perform quantitative risk analysis process|consider all when analyzing|9339848bfbfb4cd29b88b3ca41e14863|
project model|appropriate project model|is|9ab5a974e8244551a36eb42d1fd4186c|
appropriate project model|quantitative risk analysis|is the basis for|9ab5a974e8244551a36eb42d1fd4186c|
project schedule|project models used in quantitative risk analysis|is one of the most frequently used|9ab5a974e8244551a36eb42d1fd4186c|
time line item cost estimates|project models used in quantitative risk analysis|is one of the most frequently used|9ab5a974e8244551a36eb42d1fd4186c|
decision tree for decisions in the face of uncertainty|project models used in quantitative risk analysis|is one of the most frequently used|9ab5a974e8244551a36eb42d1fd4186c|
other total project models|project models used in quantitative risk analysis|is also used|9ab5a974e8244551a36eb42d1fd4186c|
quantitative risk analysis|completeness and correctness of the model of the project|is especially sensitive to|9ab5a974e8244551a36eb42d1fd4186c|
commitment to collecting high quality risk data|high quality data about risks|is related to|c4dd9af0797d45e090156bcc25e0d893|
collection of risk data|high quality data about risks|requires|c4dd9af0797d45e090156bcc25e0d893|
collection of risk data|interviews, workshops and other means|uses|c4dd9af0797d45e090156bcc25e0d893|
collection of risk data|expert judgment of those present|uses|c4dd9af0797d45e090156bcc25e0d893|
resource and time|collection of risk data|requires|c4dd9af0797d45e090156bcc25e0d893|
management support|collection of risk data|requires|c4dd9af0797d45e090156bcc25e0d893|
unbiased data success|gathering risk analysis data|requires|b45d03e5832b4b1b8a09a07e4f418739|
ability to recognize biases|unbiased data success|is necessary for|b45d03e5832b4b1b8a09a07e4f418739|
combating bias|unbiased data success|is a way to achieve|b45d03e5832b4b1b8a09a07e4f418739|
developing other unbiased sources of data|unbiased data success|is another way to achieve|b45d03e5832b4b1b8a09a07e4f418739|
bias in risk data|unbiased data success|can negatively impact|b45d03e5832b4b1b8a09a07e4f418739|
cognitive bias|bias in risk data|is a source of|b45d03e5832b4b1b8a09a07e4f418739|
motivational bias|bias in risk data|is another source of|b45d03e5832b4b1b8a09a07e4f418739|
overall project risk|individual risks|derived from|01575af7d7ec4f26bf520b31da63bcd8|
perform quantitative risk analysis process|methodology for deriving overall project risk|based upon|01575af7d7ec4f26bf520b31da63bcd8|
monte carlo simulation|appropriate method for risk analysis of cost and schedule|is|01575af7d7ec4f26bf520b31da63bcd8|
decision tree|appropriate method for making decisions when future events are not certain|is|01575af7d7ec4f26bf520b31da63bcd8|
probability and impact of risks|factors combined in a decision tree to derive an overall project measure|are combined with|01575af7d7ec4f26bf520b31da63bcd8|
overall project measure (e.g., value or cost)|derived from the effects of all risks|is derived by|01575af7d7ec4f26bf520b31da63bcd8|
risks|specified at the level of detailed tasks or line item costs|are specified at|01575af7d7ec4f26bf520b31da63bcd8|
project model|model into which risks are incorporated to calculate effects on objectives|is used to incorporate|01575af7d7ec4f26bf520b31da63bcd8|
individual risks in the project model|common root cause of multiple risks|is related to|9f485371404b4bd0b882f9daa9f9ea94|
several risks|correlated risks|are likely to occur together during the analysis|9f485371404b4bd0b882f9daa9f9ea94|
risk register listing of a risk or root cause|several project elements (schedule, activities, cost elements)|is attached to|9f485371404b4bd0b882f9daa9f9ea94|
particular risk|affected project elements|experiences the effect of that risk together|9f485371404b4bd0b882f9daa9f9ea94|
perform quantitative risk analysis process|achieving the objectives of quantitative risk analysis|depends on|c1327ef0e6f54a4c9c2859b15d9fedb0|
chapter 7 perform quantitative risk analysis|perform quantitative risk analysis process|contains|c1327ef0e6f54a4c9c2859b15d9fedb0|
section 7.2.1 through 7.2.6|perform quantitative risk analysis process success|is prerequisite for|c1327ef0e6f54a4c9c2859b15d9fedb0|
comprehensive risk representation risk models|representation of risks that have impact on an objective simultaneously|permits|ba44ffbf888043cfa562f41d1fa202bf|
comprehensive risk representation risk models|representation of both opportunities and threats to the project's objectives|permits|ba44ffbf888043cfa562f41d1fa202bf|
7.3.2 risk impact calculation quantitative models|risks|facilitates the correct calculation of|593bc6756a1d4f9ebfed2e6e4998f3ad|
7.3.2 risk impact calculation quantitative models|level of detail below the total project|apply to|593bc6756a1d4f9ebfed2e6e4998f3ad|
7.3.2 risk impact calculation quantitative models|project objectives|calculate the effect on|593bc6756a1d4f9ebfed2e6e4998f3ad|
project objectives|total project|are typically described at the level of|593bc6756a1d4f9ebfed2e6e4998f3ad|
quantitative method|analyzing uncertainty|is appropriate for|bae0ae3dcc094946a5b6e378a002a3f1|
quantitative method|probability models|addresses|bae0ae3dcc094946a5b6e378a002a3f1|
probability models|uncertainty probability|represents|bae0ae3dcc094946a5b6e378a002a3f1|
probability models|probability of an event s occurring|can represent as|bae0ae3dcc094946a5b6e378a002a3f1|
probability models|probability distributions for a range of outcomes|can represent as|bae0ae3dcc094946a5b6e378a002a3f1|
monte carlo simulation tools|quantitative method|is an example of|bae0ae3dcc094946a5b6e378a002a3f1|
monte carlo simulation tools|combination of probability distributions|permit the|bae0ae3dcc094946a5b6e378a002a3f1|
monte carlo simulation tools|line item costs or schedule activity durations|permits the combination of probability distributions for|bae0ae3dcc094946a5b6e378a002a3f1|
uncertain line item costs or schedule activity durations|monte carlo simulation tools|many of which are uncertain, these can be handled by|bae0ae3dcc094946a5b6e378a002a3f1|
historical data assessment|data gathering tools|is part of|39304626af454fcab09fc00d4e7f9719|
workshops|data gathering tools|is part of|39304626af454fcab09fc00d4e7f9719|
interviews|data gathering tools|is part of|39304626af454fcab09fc00d4e7f9719|
questionnaires|data gathering tools|is part of|39304626af454fcab09fc00d4e7f9719|
probability of a risk occurring|quantified information gathered|provides|39304626af454fcab09fc00d4e7f9719|
probability distribution|potential impacts on cost or time|is related to|39304626af454fcab09fc00d4e7f9719|
correlation between risks|relationships gathered|is part of|39304626af454fcab09fc00d4e7f9719|
quantitative risk analysis|chapter 7|is performed in|39304626af454fcab09fc00d4e7f9719|
quantitative analysis results|standard deterministic project management methods (e.g., project scheduling, cost estimating)|results from|3d77257ca43c45629afc4f6271545135|
probability distribution of project completion dates or total costs|quantitative analysis results|includes|3d77257ca43c45629afc4f6271545135|
expected value of a project decision|quantitative analysis results|includes|3d77257ca43c45629afc4f6271545135|
probability of achieving a project objective (e.g., finishing on time or within budget)|quantitative analysis results|includes|3d77257ca43c45629afc4f6271545135|
contingency reserve in cost, time, or resources|quantitative analysis results|includes|3d77257ca43c45629afc4f6271545135|
important risks within the project model|quantitative analysis results|includes|3d77257ca43c45629afc4f6271545135|
sensitivity analysis in a cost risk analysis|example of important risks within the project model|is an example of|3d77257ca43c45629afc4f6271545135|
criticality analysis in a schedule risk analysis|example of important risks within the project model|is an example of|3d77257ca43c45629afc4f6271545135|
quantitative tools|elements of a quantitative risk analysis|provides|3d77257ca43c45629afc4f6271545135|
figure 7.2|structure of a quantitative risk analysis|illustrates|3d77257ca43c45629afc4f6271545135|
criticality analysis|schedule risk analysis|is part of|9255656a98d649a0962babcd71d5c180|
quantitative risk analysis|criticality analysis|includes|9255656a98d649a0962babcd71d5c180|
quantitative risk analysis|schedule risk analysis|includes|9255656a98d649a0962babcd71d5c180|
elements of quantitative risk analysis|criticality analysis|includes|9255656a98d649a0962babcd71d5c180|
quantitative risk analysis|figure 7.2|illustrates|9255656a98d649a0962babcd71d5c180|
iterative quantitative risk analysis|perform quantitative risk analysis process|is part of|974ef0a36a3e4538857682ef478be36f|
perform quantitative risk analysis process|project|is performed on|974ef0a36a3e4538857682ef478be36f|
iterative quantitative risk analysis|project|is applied to|974ef0a36a3e4538857682ef478be36f|
perform quantitative risk analysis process|periodically throughout the project|is enhanced by|974ef0a36a3e4538857682ef478be36f|
knowing all of the risks that may occur in a project|iterative quantitative risk analysis|cannot predict in advance|974ef0a36a3e4538857682ef478be36f|
quantitative risk analysis|iterative quantitative risk analysis|is a specific type of|974ef0a36a3e4538857682ef478be36f|
plan risk management process|frequency of iterative quantitative risk analysis|will be determined during|974ef0a36a3e4538857682ef478be36f|
project events|frequency of iterative quantitative risk analysis|depends on|974ef0a36a3e4538857682ef478be36f|
monitor and control risks chapter 9|determining the frequency of iterative quantitative risk analysis|provides guidance on|974ef0a36a3e4538857682ef478be36f|
project schedule|overall project contingency reserve in time|is part of|cc3b669cbaaa4dca9383ad2b39ffc98a|
project budget|overall project contingency reserve in cost|is part of|cc3b669cbaaa4dca9383ad2b39ffc98a|
quantitative risk analysis|project schedule and budget|provides information that may be used to modify|cc3b669cbaaa4dca9383ad2b39ffc98a|
overall project risk (to time and cost)|project plan|affects|cc3b669cbaaa4dca9383ad2b39ffc98a|
scope changes|overall project risk (to time and cost)|is prerequisite for|cc3b669cbaaa4dca9383ad2b39ffc98a|
new quantitative risk analysis|project|reflects the new aspects of|cc3b669cbaaa4dca9383ad2b39ffc98a|
quantitative risk analysis process|tools and techniques|is applied by|569fd7a98bd2477bb43b7b440af147c7|
tools and techniques|quantitative risk analysis|used for|569fd7a98bd2477bb43b7b440af147c7|
tools and techniques|characteristics of tools and techniques used for quantitative risk analysis|have|569fd7a98bd2477bb43b7b440af147c7|
quantitative risk analysis process|perform quantitative risk analysis|is part of|242bebfe0ec14121bc42c81ac44e1e69|
contingency reserves|cost estimate|is incorporated into|242bebfe0ec14121bc42c81ac44e1e69|
contingency reserves|schedule|is incorporated into|242bebfe0ec14121bc42c81ac44e1e69|
contingency reserves|project scope and plan|may result from exceeding|242bebfe0ec14121bc42c81ac44e1e69|
contingency reserves|opportunities for the project|are established to provide for the capture of|242bebfe0ec14121bc42c81ac44e1e69|
changes in the project scope and plan|contingency reserve required|may result from exceeding|242bebfe0ec14121bc42c81ac44e1e69|
results of the analysis|prudent target for the project|establish a prudent target and a realistic expectation for|242bebfe0ec14121bc42c81ac44e1e69|
results of the analysis|realistic expectation for the project|establish a prudent target and a realistic expectation for|242bebfe0ec14121bc42c81ac44e1e69|
results of the analysis|project management|are recorded and passed on to|242bebfe0ec14121bc42c81ac44e1e69|
probability of achieving the plan's objectives|results of a quantitative risk analysis|provides more or less urgency to risk response depending on|242bebfe0ec14121bc42c81ac44e1e69|
contingency reserve required|project management's confidence|provides the necessary level of|242bebfe0ec14121bc42c81ac44e1e69|
quantitative risk analysis results|project management within the organization|is passed on to|8299538a340f4dc790b97506d887119d|
plan risk responses process|individual risks|determines effective response actions for|8299538a340f4dc790b97506d887119d|
plan risk responses process|overall project risk|takes into account the priority of|8299538a340f4dc790b97506d887119d|
plan risk responses process|stakeholders risk attitudes|takes into account the attitudes of|8299538a340f4dc790b97506d887119d|
risk management plan|plan risk responses process|follows the conventions specified in|8299538a340f4dc790b97506d887119d|
constraints and assumptions (determined when risks were identified and analyzed)|plan risk responses process|takes into account any constraints and assumptions that were determined when the risks were identified and analyzed|8299538a340f4dc790b97506d887119d|
plan risk responses process|project success|enhances|58c55d1d0813470ab5643406ccb3195b|
plan risk responses process|applicable organizational and project constraints|complies with|58c55d1d0813470ab5643406ccb3195b|
plan risk responses process|risks (identified, analyzed, prioritized)|is applied to|58c55d1d0813470ab5643406ccb3195b|
plan risk responses process|project team|involves|58c55d1d0813470ab5643406ccb3195b|
risks (identified, analyzed, prioritized)|sufficiently important risks|considers|58c55d1d0813470ab5643406ccb3195b|
sufficiently important risks|project objectives|poses a threat to|58c55d1d0813470ab5643406ccb3195b|
sufficiently important risks|opportunities offered|offers|58c55d1d0813470ab5643406ccb3195b|
planning|actions to be taken|entails agreeing upon|58c55d1d0813470ab5643406ccb3195b|
planning|potential changes (to budget, schedule, resources, scope)|might cause|58c55d1d0813470ab5643406ccb3195b|
contingent risk response actions|optimum time|need to be executed at|58c55d1d0813470ab5643406ccb3195b|
response specification for each risk|corresponding trigger conditions|includes a description of|58c55d1d0813470ab5643406ccb3195b|
project conditions|corresponding actions|responsibility for monitoring and implementing|58c55d1d0813470ab5643406ccb3195b|
risk|trigger conditions|includes|42d3df21aee542c393b2911fbd68c501|
project conditions monitoring|responsibility for implementing the corresponding actions|is responsible for|42d3df21aee542c393b2911fbd68c501|
risk owner|ensuring that the risk response is effective|is responsible for|42d3df21aee542c393b2911fbd68c501|
risk owner|planning additional risk responses if required|is responsible for|42d3df21aee542c393b2911fbd68c501|
risk action owner|ensuring that the agreed upon risk responses are carried out as planned in a timely manner|is responsible for|42d3df21aee542c393b2911fbd68c501|
risk response|effects on the project objectives|can have potential effects on|42d3df21aee542c393b2911fbd68c501|
secondary risks|responses when implemented|are generated by|42d3df21aee542c393b2911fbd68c501|
secondary risks|analyzed and planned for|have to be analyzed and planned for in the same way as|42d3df21aee542c393b2911fbd68c501|
secondary risks|project objectives|can have potential effects on|27f8db1531964c7391311a250afe7312|
secondary risks|risks which were initially identified|have to be analyzed and planned for in the same way as|27f8db1531964c7391311a250afe7312|
elimination of all threats|project|is never feasible or even desirable to|27f8db1531964c7391311a250afe7312|
proactively managed opportunities|project|similarly there is also a limit to the extent to which|27f8db1531964c7391311a250afe7312|
residual risks|risks|remain after the responses have been implemented|27f8db1531964c7391311a250afe7312|
residual risks|all relevant stakeholders|should be clearly identified, analyzed, documented and communicated to|27f8db1531964c7391311a250afe7312|
approved unconditional actions arising from risk response planning|project management plan|should be integrated into in order to ensure that they are carried out as part of normal project implementation|27f8db1531964c7391311a250afe7312|
approved unconditional actions arising from risk response planning|project change management|corresponding organizational and project management rules should also be invoked including|27f8db1531964c7391311a250afe7312|
project implementation|normal project rules|is part of|17b095dcac6e4db8b62f35527933f989|
